City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
182,Port-Cartier,CA,50.0334,-66.8654,51.8,66,90,6.91,overcast clouds
183,Lavrentiya,RU,65.5833,-171.0,6.94,86,100,26.35,overcast clouds
184,Kargasok,RU,59.0556,80.8572,35.01,97,100,12.5,moderate rain
185,Sakete,BJ,6.7362,2.6587,82.4,83,20,5.75,few clouds
186,Deep River,CA,46.1001,-77.4995,53.6,40,1,8.16,clear sky
187,Kavieng,PG,-2.5744,150.7967,80.89,80,92,13.02,moderate rain
188,Asyut,EG,27.181,31.1837,48.2,76,0,10.36,clear sky
189,Goderich,CA,43.7501,-81.7165,51.8,87,100,3.44,overcast clouds
190,Lodwar,KE,3.1191,35.5973,81.54,56,30,8.19,scattered clouds
191,Rocha,UY,-34.4833,-54.3333,61.57,69,87,11.79,overcast clouds
192,Ambilobe,MG,-13.2,49.05,74.1,88,37,2.84,scattered clouds
193,Rutland,US,43.6167,-73.0162,51.01,66,90,11.5,overcast clouds
194,Beloha,MG,-25.1667,45.05,72.03,89,28,9.73,scattered clouds
195,Ternate,ID,0.8,127.4,84.02,69,32,8.21,scattered clouds
196,New Norfolk,AU,-42.7826,147.0587,60.01,68,89,1.01,overcast clouds
197,Hervey Bay,AU,-25.2986,152.8535,78.01,59,2,5.99,clear sky
198,Nizhniy Kuranakh,RU,58.8353,125.4869,19.98,75,100,8.48,overcast clouds
199,Camopi,GF,3.1655,-52.3158,72.12,99,100,0.74,overcast clouds
200,Safranbolu,TR,41.2508,32.6942,36.68,97,100,2.46,light rain
201,Anadyr,RU,64.75,177.4833,5.0,78,20,26.84,snow
202,Faya,SA,18.3851,42.4509,64.4,34,0,3.36,clear sky
203,Bucerias,MX,20.75,-105.3333,75.2,83,75,2.55,broken clouds
204,Saldanha,ZA,-33.0117,17.9442,55.4,88,100,1.14,overcast clouds
205,Bengkulu,ID,-3.8004,102.2655,79.99,75,100,2.77,overcast clouds
206,Punta De Piedra,VE,7.6176,-71.4916,73.0,82,99,1.95,overcast clouds
207,Norman Wells,CA,65.282,-126.8329,8.6,43,20,4.61,few clouds
208,Arraial Do Cabo,BR,-22.9661,-42.0278,74.52,82,3,15.26,clear sky
209,Acarau,BR,-2.8856,-40.12,77.04,87,99,8.81,overcast clouds
210,Quelimane,MZ,-17.8786,36.8883,73.4,94,40,3.44,scattered clouds
211,Bluff,NZ,-46.6,168.3333,62.01,84,100,3.0,light rain
212,Macia,MZ,-25.0269,33.0989,63.75,93,0,1.77,clear sky
213,Vagur,FO,61.4732,-6.8119,38.17,57,70,8.19,broken clouds
214,Tiksi,RU,71.6872,128.8694,17.46,64,100,9.78,overcast clouds
215,Manta,EC,-0.95,-80.7333,77.0,83,20,6.91,few clouds
216,Te Anau,NZ,-45.4167,167.7167,54.37,92,89,0.69,overcast clouds
217,Weiser,US,44.251,-116.9693,42.8,26,1,8.05,clear sky
218,Itarema,BR,-2.9248,-39.9167,76.5,88,98,8.03,overcast clouds
219,Birao,CF,10.2849,22.7882,78.22,13,97,9.82,overcast clouds
220,Maungaturoto,NZ,-36.1,174.3667,73.0,77,65,4.0,broken clouds
221,Caravelas,BR,-17.7125,-39.2481,71.46,93,12,4.5,few clouds
222,Kodiak,US,57.79,-152.4072,39.2,93,90,8.1,light rain
223,Jackson,US,42.4165,-122.8345,53.6,47,1,4.61,clear sky
224,Tuy Hoa,VN,13.0833,109.3,85.51,63,34,9.19,scattered clouds
225,Bereda,ES,43.2686,-7.5406,30.0,95,2,1.99,clear sky
226,Inhambane,MZ,-23.865,35.3833,66.2,94,20,5.95,mist
227,Quballat,TN,36.5418,9.6633,60.8,82,20,8.05,few clouds
228,Malegaon,IN,20.55,74.5333,92.37,14,14,11.74,few clouds
229,San Andres,CO,12.5847,-81.7006,82.4,78,20,8.05,few clouds
230,Konstantinovsk,RU,47.5828,41.0922,48.96,80,98,6.04,overcast clouds
231,Gram,DK,55.2895,9.0491,33.8,93,20,8.05,few clouds
232,Codrington,AU,-38.2667,141.9667,61.18,54,29,7.47,scattered clouds
233,Yumen,CN,40.2833,97.2,45.28,40,100,20.49,overcast clouds
234,Bonthe,SL,7.5264,-12.505,80.2,86,79,4.38,light rain
235,Yellowknife,CA,62.456,-114.3525,5.0,85,75,6.91,light snow
236,Srednekolymsk,RU,67.45,153.6833,2.93,75,6,6.38,clear sky
237,Zhezkazgan,KZ,47.8043,67.7144,48.51,40,0,18.86,clear sky
238,Honningsvag,NO,70.9821,25.9704,32.0,69,40,25.32,snow
239,Richards Bay,ZA,-28.783,32.0377,73.42,88,84,6.11,broken clouds
240,High Rock,BS,26.6208,-78.2833,68.0,88,75,5.75,broken clouds
241,Tokur,RU,53.1333,132.9,20.26,47,100,4.07,overcast clouds
242,Tocantins,BR,-10.5,-48.0,77.0,83,75,3.31,broken clouds
243,Alta Floresta,BR,-9.8756,-56.0861,71.26,94,52,3.53,broken clouds
244,Shache,CN,38.4167,77.2406,64.13,17,0,2.59,clear sky
245,Iqaluit,CA,63.7506,-68.5145,33.8,93,90,14.97,overcast clouds
246,Nyeri,KE,-0.4201,36.9476,58.51,94,94,4.21,overcast clouds
247,Kuytun,RU,54.3419,101.5036,34.32,86,100,12.75,light snow
248,Lompoc,US,34.6391,-120.4579,51.8,82,28,12.66,scattered clouds
249,Magan,ES,39.9683,-3.931,48.0,58,100,12.57,overcast clouds
250,Itagi,BR,-14.1628,-40.0061,68.14,99,96,0.96,overcast clouds
251,Saitama,JP,35.9081,139.6566,69.01,30,72,10.56,broken clouds
252,Whitehorse,CA,60.7161,-135.0538,26.6,59,40,13.8,scattered clouds
