City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
459,Tual,ID,83.43,few clouds,-5.6667,132.75,Grand Vilia Hotel
462,Kudahuvadhoo,MV,82.51,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
464,Tutoia,BR,76.05,overcast clouds,-2.7619,-42.2744,Pousada Guará's
466,Grand Gaube,MU,81.0,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
467,San Pedro,PH,89.01,broken clouds,14.35,121.0167,OYO 412 Viewfort Venue
476,Amanganj,IN,80.6,haze,24.4333,80.0333,Matki Choraha
479,Chapada Dos Guimaraes,BR,77.0,clear sky,-15.4606,-55.7497,Pousada Morro Dos Ventos
481,Araouane,ML,80.94,clear sky,18.9048,-3.5265,
484,Kibala,TD,82.4,clear sky,9.1104,18.3463,hotel safari
488,Yarada,IN,86.02,clear sky,17.65,83.2667,Jeevan
490,Faanui,PF,81.32,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
491,Mana,GF,76.44,scattered clouds,5.6592,-53.7767,LE SAMANA
514,Sinait,PH,87.8,scattered clouds,17.8664,120.4583,Farmville Resort
517,Samarai,PG,81.97,few clouds,-10.6167,150.6667,Nuli Sapi
518,Namatanai,PG,83.17,light rain,-3.6667,152.4333,Namatanai Hotel
522,Arawa,PG,81.93,light rain,-6.2132,155.5367,Coastline Guest House
528,Manuk Mangkaw,PH,83.55,overcast clouds,4.8,119.85,
530,Karratha,AU,88.63,light rain,-20.7377,116.8463,ibis Styles Karratha
531,Coruripe,BR,77.07,overcast clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
537,Qiongshan,CN,86.0,scattered clouds,20.0058,110.3542,Sun City Restaurant
539,Daru,PG,85.42,broken clouds,-9.0763,143.2092,Daru Lodge
543,Salalah,OM,82.4,few clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
544,Mayumba,GA,77.88,overcast clouds,-3.432,10.6554,LIKWALE LODGE
548,Sokoni,TZ,77.0,moderate rain,-6.4333,39.55,Ujamaa Beach Resort
552,Gizo,SB,82.15,light rain,-8.103,156.8419,Imagination Island
557,Okrika,NG,77.95,overcast clouds,4.7416,7.0849,ayo mutiaru f
558,Doka,SD,77.9,few clouds,13.5167,35.7667,
561,Katobu,ID,88.39,few clouds,-4.9408,122.5276,La Ode Husein
563,Ler,SS,80.89,broken clouds,8.3018,30.1418,
566,Mopti,ML,80.6,clear sky,14.6667,-4.0,
568,Makakilo City,US,75.2,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
572,Kidal,ML,83.34,clear sky,18.4411,1.4078,
575,Souillac,MU,78.8,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
577,Bandarbeyla,SO,80.31,few clouds,9.4942,50.8122,JABIR HOTEL
580,Shenzhen,CN,80.01,overcast clouds,22.5455,114.0683,Shenzhen Shanghai Hotel
583,Najran,SA,78.8,few clouds,17.4924,44.1277,محمد هادي ال فطيح
586,Guasdualito,VE,77.0,broken clouds,7.2424,-70.7324,Hotel Cuibas
588,Tessalit,ML,81.14,clear sky,20.1986,1.0114,
596,Roura,GF,80.01,few clouds,4.7263,-52.3274,Amazonie Découverte SARL
597,Acapulco,MX,77.23,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
607,Arlit,NE,79.66,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
611,Takoradi,GH,80.04,broken clouds,4.8845,-1.7554,Raybow International Hotel
612,Ishigaki,JP,80.6,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
613,Nueva Rosita,MX,77.0,scattered clouds,27.95,-101.2167,Susana dinorah chacon leija
616,Puerto Escondido,MX,80.6,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
617,Koumac,NC,78.31,overcast clouds,-20.5667,164.2833,Le Monitel
627,Banjar,ID,82.4,scattered clouds,-8.19,114.9675,The Hamsa Resort
629,Butterworth,MY,89.6,scattered clouds,5.3991,100.3638,Cititel Penang
