City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
214,Atar,MR,2021-04-06 21:16:05,20.5169,-13.0499,85.73,17,11,9.4
215,Pevek,RU,2021-04-06 21:17:09,69.7008,170.3133,-17.97,99,100,6.44
216,Bilgi,IN,2021-04-06 21:17:10,16.35,75.6167,83.68,29,11,2.3
217,Rocha,UY,2021-04-06 21:14:29,-34.4833,-54.3333,69.85,82,34,9.86
218,Pilar,BR,2021-04-06 21:17:10,-9.5972,-35.9567,77.0,83,40,6.91
219,Nikolskoye,RU,2021-04-06 21:17:11,59.7035,30.7861,36.0,80,0,8.95
220,Owase,JP,2021-04-06 21:17:11,34.0667,136.2,49.71,88,55,5.12
221,Antas,PT,2021-04-06 21:17:11,41.7364,-8.3089,57.0,70,39,7.0
222,Port Blair,IN,2021-04-06 21:17:12,11.6667,92.75,80.08,77,81,4.07
223,Cherskiy,RU,2021-04-06 21:17:12,68.75,161.3,-15.59,95,26,1.43
224,Wajima,JP,2021-04-06 21:17:12,37.4,136.9,47.98,68,67,6.02
225,Seybaplaya,MX,2021-04-06 21:17:13,19.65,-90.6667,93.2,31,75,11.5
226,Osakarovka,KZ,2021-04-06 21:17:13,50.565,72.5692,31.75,98,100,4.7
227,Talnakh,RU,2021-04-06 21:17:13,69.4865,88.3972,25.7,97,100,2.8
228,Trelew,AR,2021-04-06 21:17:14,-43.249,-65.3051,69.28,80,100,8.93
229,Parana,AR,2021-04-06 21:17:14,-31.732,-60.5238,84.99,57,15,3.0
230,Mumford,GH,2021-04-06 21:17:14,5.2618,-0.759,80.78,86,10,7.2
231,Omboue,GA,2021-04-06 21:17:15,-1.5746,9.2618,77.79,91,100,4.65
232,Dingle,PH,2021-04-06 21:17:15,10.9995,122.6711,74.26,90,91,6.8
233,Iquique,CL,2021-04-06 21:13:34,-20.2208,-70.1431,69.8,73,75,19.57
234,Galveston,US,2021-04-06 21:17:15,29.3669,-94.9669,77.0,78,40,16.11
235,Baracoa,CU,2021-04-06 21:15:04,20.3467,-74.4958,74.1,84,100,9.86
